HEADER,M7_20130125_v8,Neo
Default,1001,1101,
Default Car-kit,1201,1301,
Default BT_NRECon,1027,1127,
Default Carkit_NREDoff,1028,1128,
JKDAP3264,1002,1102,
JKDAP3265,1003,1103,
LG HBS700,1007,1107,
Jabra Halo,1008,1108,
9XXBackBeat,1010,1110,
Nokia BH-505,1012,1112,
Motorola S10-HD,1013,1113,
Blueant V1 V5.3,1017,1117,
BlueAnt Q2 V1.1,1018,1118,
MB Bluetooth,1022,1122,
HTC BH M500,1023,1123,
PLT_BB903+,1024,1124,
Jawbone ERA,1025,1125,
Nokia BH-111,1026,1126,
Motorola HX550,1029,1129,
PLT_M50,1030,1130,
HM6450,1031,1131,
Motorola HK210,1032,1132,
HTC mini,1033,1133,
Nokia BH-106,1034,1134,
HS3000,1035,1135,
9xxPlantronics,1036,1136,
Jabra Stone,1037,1137,
Voyager PRO+,1038,1138,
Jabra BT3030,1039,1139,
HBH-IV840,1040,1140,
HBH-DS980,1041,1141,
Nokia BH-905,1042,1142,
Jabra SP200,1043,1143,
Nokia BH-216,1044,1144,
Parrot Minikit Slim v1.05,1203,1303,
Jabra Wave,1401,1501,
Motorola H790,1402,1502,
Jabra EasyGo----------,1403,1503,
245Plantronics--------,1404,1504,
Jabra EXTREME,1405,1505,
PLT_M155,1406,1506,
PLT_Voyager PRO,1407,1507,
HM1000---------,1408,1508,
Jabra Stone2,1409,1509,
VBT3050------,1410,1510,
Jawbone ICON,1411,1511,
9XXBackBeat------,1412,1512,
Jabra Clipper------,1413,1513,
Jabra SP700------,1414,1514,
Jabra Halo------,1415,1515,
Motorola Finiti,1416,1516,
Jabra Cruiser2,1417,1517,
LG HBS-700,1418,1518,
LG HBM-800------,1419,1519,
BlueAnt Q2 V1.1-------,1420,1520,
Blueant V1 V5.3-------,1421,1521,
VH700,1422,1522,
MW600,1423,1523,
BHM400,1424,1524,
BHM300,1425,1525,
JAMBOX by Jawbone,1428,1528,
Samsung HM-3500------,1429,1529,
Motorola Roadster,1602,1702,
Motorola T605,1603,1703,
@^BMW [0-9a-zA-Z]{5}$,1604,1704,BMW
FORD Sync,1605,1705,
HANDS FREE,1606,1706,
JCI Honda,1607,1707,
JCI Mazda,1608,1708,
Luxgen Pilot,1609,1709,
Parrot MK9000,1610,1710,
Porsche-HFP,1611,1711,
Audi BTA0626,1612,1712,
BMW Combox,1613,1713,
JVC KW-XR 810,1614,1714,
Jawbone,1614,1714,
FORD Audio,1615,1715,
HTC Car V100,1616,1716,
Beats Wireless,1617,1717,
BlueAnt S4 V1.6,1618,1718,
HTC BH S600,1619,1719,
MFE XI Telecom,1801,1901
@^[0-9]{8}-CH[1-4]$,1801,1901,Metrico BT MOS
@^MT8855A [0-9]{4}$,1802,1902,VzW lab
END,,,
